,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Matara,LK,5.9485,80.5353,75.2,95,100,3.96,moderate rain
255,Fernandopolis,BR,-20.2839,-50.2464,78.24,65,77,5.97,broken clouds
256,Victoria,HK,22.2855,114.1577,77.38,87,83,1.01,broken clouds
257,Mende,FR,44.6667,3.5,45.81,88,53,12.33,broken clouds
258,Tabou,CI,4.423,-7.3528,78.12,85,92,4.94,light rain
259,Saint-Pierre,RE,-21.3393,55.4781,74.88,67,90,4.61,overcast clouds
260,Guane,CU,22.2025,-84.0875,83.5,76,100,9.95,overcast clouds
261,Hambantota,LK,6.1241,81.1185,78.33,83,94,4.45,light rain
262,Coahuayana,MX,18.7333,-103.6833,87.28,67,18,5.32,few clouds
263,Cap-Aux-Meules,CA,47.3821,-61.8597,46.45,76,75,24.16,broken clouds
264,Lugo,ES,43.0,-7.5,54.77,97,100,1.01,overcast clouds
265,Antalaha,MG,-14.9003,50.2788,71.82,86,26,3.74,scattered clouds
266,Gloucester,GB,51.8657,-2.2431,59.5,88,100,20.0,overcast clouds
267,Chapais,CA,49.7834,-74.8492,44.38,56,0,5.44,clear sky
268,Abha,SA,18.2164,42.5053,58.82,62,0,0.0,clear sky
269,Mackay,AU,-21.15,149.2,84.69,57,40,12.66,scattered clouds
270,Torbay,CA,47.6666,-52.7314,39.27,95,90,18.41,light intensity drizzle
271,Kamenka,RU,51.3223,42.7678,44.24,94,100,8.59,overcast clouds
272,Aguada,PR,18.3794,-67.1882,84.06,83,75,4.0,broken clouds
273,Uddevalla,SE,58.3478,11.9424,53.08,93,28,1.01,scattered clouds
274,Te Anau,NZ,-45.4167,167.7167,59.61,64,12,0.87,few clouds
275,Chokurdakh,RU,70.6333,147.9167,-9.67,97,95,4.05,overcast clouds
276,Lorengau,PG,-2.0226,147.2712,83.88,72,91,6.55,overcast clouds
277,Paignton,GB,50.4357,-3.5679,60.62,64,100,8.99,overcast clouds
278,Carnarvon,AU,-24.8667,113.6333,62.67,59,0,17.27,clear sky
279,Pasni,PK,25.2631,63.471,78.55,55,0,6.62,clear sky
280,Gigmoto,PH,13.7796,124.39,79.88,82,53,13.22,broken clouds
281,Pacifica,US,37.6138,-122.4869,81.19,66,1,0.0,haze
282,Zhigalovo,RU,54.8097,105.1578,21.42,62,7,2.01,clear sky
283,Cabo San Lucas,MX,22.8909,-109.9124,88.61,61,20,11.5,few clouds
284,Otradnoye,RU,59.7775,30.8181,47.03,93,100,10.92,light rain
285,Kudahuvadhoo,MV,2.6708,72.8944,81.21,77,76,8.79,broken clouds
286,Kuytun,RU,54.3419,101.5036,25.12,88,67,4.47,broken clouds
287,Erzincan,TR,39.75,39.5,45.7,57,75,5.75,light rain
288,Baudh,IN,20.8416,84.3213,70.77,90,14,1.99,few clouds
289,Husavik,IS,66.0449,-17.3389,40.91,97,100,19.71,light rain
290,Tiebissou,CI,7.1574,-5.2257,79.05,93,90,4.14,overcast clouds
